region_standard,year,total,18_30,31_40,41_50,51_60,60_
Алтайский край,2017,180668.18181818182,8592.636363636364,13534.181818181818,14022.181818181818,29528.545454545456,114990.63636363637
Алтайский край,2018,176683.58333333334,7944.833333333333,13509.166666666666,14555.25,27651.666666666668,113022.66666666667
Алтайский край,2019,175006.41666666666,7430.333333333333,13501.333333333334,15197.416666666666,26015.916666666668,112861.41666666667
Алтайский край,2020,171734.75,7134.416666666667,13449.583333333334,15737.0,24353.666666666668,111060.08333333333
Алтайский край,2021,165563.83333333334,7214.0,13239.75,16381.083333333334,22628.0,106101.0
Амурская область,2017,68026.25,3564.1666666666665,5284.666666666667,6243.333333333333,12241.25,40692.833333333336
Амурская область,2018,66420.83333333333,3339.3333333333335,5337.916666666667,6254.75,11380.5,40108.333333333336
Амурская область,2019,65474.416666666664,3233.3333333333335,5345.083333333333,6259.916666666667,10692.666666666666,39943.416666666664
Амурская область,2020,63897.333333333336,3228.3333333333335,5241.416666666667,6336.916666666667,9876.083333333334,39214.583333333336
Амурская область,2021,61144.333333333336,3270.5,5109.083333333333,6333.333333333333,9112.5,37318.916666666664
Архангельская область,2017,88074.0,3387.0,5170.416666666667,6700.416666666667,13456.833333333334,59359.333333333336
Архангельская область,2018,86545.16666666667,3153.3333333333335,5128.833333333333,6717.333333333333,12877.333333333334,58668.333333333336
Архангельская область,2019,85980.5,2965.5833333333335,5178.583333333333,6827.833333333333,12360.916666666666,58647.583333333336
Архангельская область,2020,84715.33333333333,2887.0,5154.166666666667,6987.25,11774.5,57912.416666666664
Архангельская область,2021,81582.75,2934.4166666666665,5132.5,7152.5,11077.333333333334,55286.0
Астраханская область,2017,44452.166666666664,3064.0,3958.75,4733.833333333333,8908.833333333334,23786.75
Астраханская область,2018,43800.083333333336,2881.75,3960.9166666666665,4704.75,8588.416666666666,23664.25
Астраханская область,2019,43600.0,2730.75,3977.0833333333335,4742.916666666667,8243.583333333334,23905.666666666668
Астраханская область,2020,43390.583333333336,2664.6666666666665,3995.3333333333335,4914.166666666667,7915.416666666667,23901.0
Астраханская область,2021,42586.583333333336,2691.8333333333335,4009.0,5063.666666666667,7598.25,23223.833333333332
Белгородская область,2017,218812.91666666666,6087.083333333333,10263.083333333334,16180.25,36412.583333333336,149869.91666666666
Белгородская область,2018,210249.58333333334,5595.166666666667,10046.0,15496.916666666666,34092.416666666664,145019.08333333334
Белгородская область,2019,203847.16666666666,5296.416666666667,9865.083333333334,15238.833333333334,32093.166666666668,141353.66666666666
Белгородская область,2020,196594.08333333334,5034.583333333333,9576.916666666666,14979.25,30043.583333333332,136959.75
Белгородская область,2021,187696.83333333334,4920.416666666667,9313.75,14789.75,27934.083333333332,130738.83333333333
Брянская область,2017,109693.41666666667,4098.166666666667,6521.666666666667,10130.5,21214.333333333332,67728.75
Брянская область,2018,108158.91666666667,3845.5833333333335,6439.333333333333,9962.0,20327.25,67584.75
Брянская область,2019,107221.75,3625.3333333333335,6427.0,9881.833333333334,19292.416666666668,67995.16666666667
Брянская область,2020,105172.75,3460.3333333333335,6272.583333333333,9699.166666666666,18248.333333333332,67492.33333333333
Брянская область,2021,102120.5,3407.5833333333335,6166.916666666667,9701.75,17258.416666666668,65585.83333333333
Владимирская область,2017,131252.16666666666,4288.916666666667,6766.916666666667,9455.416666666666,22562.583333333332,88178.33333333333
Владимирская область,2018,127306.83333333333,3984.0,6758.583333333333,9347.333333333334,20981.583333333332,86235.33333333333
Владимирская область,2019,124955.83333333333,3829.5,6798.666666666667,9458.833333333334,19727.0,85141.83333333333
Владимирская область,2020,121322.08333333333,3722.0833333333335,6672.5,9482.416666666666,18291.25,83153.83333333333
Владимирская область,2021,116680.41666666667,3710.5833333333335,6633.75,9580.833333333334,17076.416666666668,79678.83333333333
Волгоградская область,2017,179625.91666666666,7582.916666666667,11990.5,16523.416666666668,32059.75,111469.33333333333
Волгоградская область,2018,175769.75,7060.833333333333,12009.25,16490.5,30944.75,109264.41666666667
Волгоградская область,2019,174406.41666666666,6681.0,11987.083333333334,16674.583333333332,30176.666666666668,108887.08333333333
Волгоградская область,2020,170878.58333333334,6402.666666666667,11844.916666666666,16796.416666666668,29060.916666666668,106773.66666666667
Волгоградская область,2021,164041.66666666666,6281.833333333333,11629.166666666666,16803.0,27554.5,101773.16666666667
Вологодская область,2017,103418.25,3216.5833333333335,5386.25,7077.416666666667,18018.25,69719.75
Вологодская область,2018,99245.75,2982.5,5317.583333333333,6923.916666666667,16607.166666666668,67414.58333333333
Вологодская область,2019,96071.91666666667,2817.25,5297.0,6983.0,15341.916666666666,65632.75
Вологодская область,2020,92728.5,2787.5,5225.416666666667,7135.416666666667,14204.5,63375.666666666664
Вологодская область,2021,89174.5,2894.1666666666665,5188.75,7308.083333333333,13334.75,60448.75
Воронежская область,2017,219185.75,7519.916666666667,11500.333333333334,17695.75,44546.583333333336,137923.16666666666
Воронежская область,2018,216893.25,7153.833333333333,11680.0,17566.916666666668,42288.583333333336,138203.91666666666
Воронежская область,2019,217038.33333333334,6898.833333333333,11941.166666666666,17901.666666666668,40539.5,139757.16666666666
Воронежская область,2020,215079.08333333334,6676.5,12030.5,17995.583333333332,38393.0,139983.5
Воронежская область,2021,209408.75,6579.25,11929.333333333334,18099.916666666668,35833.0,136967.25
Еврейская автономная область,2017,13124.75,839.1666666666666,1186.5,1220.5,2057.5,7821.083333333333
Еврейская автономная область,2018,12709.833333333334,749.5,1183.75,1223.25,1939.5833333333333,7613.75
Еврейская автономная область,2019,12656.333333333334,696.5,1202.4166666666667,1292.6666666666667,1844.75,7620.0
Еврейская автономная область,2020,12460.333333333334,674.8333333333334,1182.5833333333333,1371.3333333333333,1767.3333333333333,7464.25
Еврейская автономная область,2021,12082.666666666666,636.25,1184.25,1432.0,1666.4166666666667,7163.75
Забайкальский край,2017,81385.16666666667,5087.833333333333,7048.75,7560.5,13949.083333333334,47739.0
Забайкальский край,2018,79510.33333333333,4772.25,7135.916666666667,7758.166666666667,13100.083333333334,46743.916666666664
Забайкальский край,2019,78670.75,4537.416666666667,7209.75,7966.25,12321.416666666666,46635.916666666664
Забайкальский край,2020,76895.58333333333,4367.833333333333,7183.5,8157.75,11583.833333333334,45602.666666666664
Забайкальский край,2021,74825.08333333333,4327.083333333333,7183.333333333333,8438.583333333334,11081.25,43794.833333333336
Ивановская область,2017,81616.16666666667,3065.6666666666665,4648.25,6285.083333333333,13162.916666666666,54454.25
Ивановская область,2018,79432.83333333333,2847.1666666666665,4616.416666666667,6242.75,12428.333333333334,53298.166666666664
Ивановская область,2019,78351.5,2685.5833333333335,4581.916666666667,6330.083333333333,11879.583333333334,52874.333333333336
Ивановская область,2020,76565.08333333333,2594.1666666666665,4588.333333333333,6419.5,11364.5,51598.583333333336
Ивановская область,2021,74308.41666666667,2589.4166666666665,4590.583333333333,6605.25,10931.416666666666,49591.75
Иркутская область,2017,213828.5,15700.416666666666,19602.333333333332,21328.583333333332,39288.25,117908.91666666667
Иркутская область,2018,208733.66666666666,14156.0,19547.916666666668,21184.583333333332,36687.916666666664,117157.25
Иркутская область,2019,209976.83333333334,13754.333333333334,20389.5,22054.333333333332,35442.0,118336.66666666667
Иркутская область,2020,207112.25,13136.416666666666,20494.5,22455.416666666668,33724.0,117301.91666666667
