region,year,agglo_cluster
Белгородская область,2015,2
Белгородская область,2016,2
Белгородская область,2017,2
Белгородская область,2018,2
Белгородская область,2019,2
Белгородская область,2020,2
Брянская область,2015,2
Брянская область,2016,2
Брянская область,2017,2
Брянская область,2018,2
Брянская область,2019,2
Брянская область,2020,2
Владимирская область,2015,2
Владимирская область,2016,2
Владимирская область,2017,2
Владимирская область,2018,2
Владимирская область,2019,2
Владимирская область,2020,2
Воронежская область,2015,2
Воронежская область,2016,2
Воронежская область,2017,2
Воронежская область,2018,2
Воронежская область,2019,2
Воронежская область,2020,2
Ивановская область,2015,2
Ивановская область,2016,2
Ивановская область,2017,2
Ивановская область,2018,2
Ивановская область,2019,2
Ивановская область,2020,2
Калужская область,2015,2
Калужская область,2016,2
Калужская область,2017,2
Калужская область,2018,2
Калужская область,2019,2
Калужская область,2020,2
Костромская область,2015,2
Костромская область,2016,2
Костромская область,2017,2
Костромская область,2018,2
Костромская область,2019,2
Костромская область,2020,2
Курская область,2015,2
Курская область,2016,2
Курская область,2017,2
Курская область,2018,2
Курская область,2019,2
Курская область,2020,2
Липецкая область,2015,2
Липецкая область,2016,2
Липецкая область,2017,2
Липецкая область,2018,2
Липецкая область,2019,2
Липецкая область,2020,2
Московская область,2015,1
Московская область,2016,1
Московская область,2017,1
Московская область,2018,1
Московская область,2019,1
Московская область,2020,1
Орловская область,2015,2
Орловская область,2016,2
Орловская область,2017,2
Орловская область,2018,2
Орловская область,2019,2
Орловская область,2020,2
Рязанская область,2015,2
Рязанская область,2016,2
Рязанская область,2017,2
Рязанская область,2018,2
Рязанская область,2019,2
Рязанская область,2020,2
Смоленская область,2015,2
Смоленская область,2016,2
Смоленская область,2017,2
Смоленская область,2018,2
Смоленская область,2019,2
Смоленская область,2020,2
Тамбовская область,2015,2
Тамбовская область,2016,2
Тамбовская область,2017,2
Тамбовская область,2018,2
Тамбовская область,2019,2
Тамбовская область,2020,2
Тверская область,2015,2
Тверская область,2016,2
Тверская область,2017,2
Тверская область,2018,2
Тверская область,2019,2
Тверская область,2020,2
Тульская область,2015,2
Тульская область,2016,2
Тульская область,2017,2
Тульская область,2018,2
Тульская область,2019,2
Тульская область,2020,2
Ярославская область,2015,2
Ярославская область,2016,2
Ярославская область,2017,2
Ярославская область,2018,2
Ярославская область,2019,2
Ярославская область,2020,2
Москва,2015,1
Москва,2016,1
Москва,2017,1
Москва,2018,1
Москва,2019,1
Москва,2020,1
Республика Карелия,2015,2
Республика Карелия,2016,2
Республика Карелия,2017,2
Республика Карелия,2018,2
Республика Карелия,2019,2
Республика Карелия,2020,2
Республика Коми,2015,2
Республика Коми,2016,2
Республика Коми,2017,2
Республика Коми,2018,2
Республика Коми,2019,2
Республика Коми,2020,2
Архангельская область,2015,2
Архангельская область,2016,2
Архангельская область,2017,2
Архангельская область,2018,2
Архангельская область,2019,2
Архангельская область,2020,2
Ненецкий автономный округ,2015,1
Ненецкий автономный округ,2016,1
Ненецкий автономный округ,2017,1
Ненецкий автономный округ,2018,1
Ненецкий автономный округ,2019,1
Ненецкий автономный округ,2020,1
Вологодская область,2015,2
Вологодская область,2016,2
Вологодская область,2017,2
Вологодская область,2018,2
Вологодская область,2019,2
Вологодская область,2020,2
Калининградская область,2015,2
Калининградская область,2016,2
Калининградская область,2017,2
Калининградская область,2018,2
Калининградская область,2019,2
Калининградская область,2020,2
Ленинградская область,2015,2
Ленинградская область,2016,2
Ленинградская область,2017,2
Ленинградская область,2018,2
Ленинградская область,2019,2
Ленинградская область,2020,2
Мурманская область,2015,1
Мурманская область,2016,1
Мурманская область,2017,1
Мурманская область,2018,1
Мурманская область,2019,1
Мурманская область,2020,1
Новгородская область,2015,2
Новгородская область,2016,2
Новгородская область,2017,2
Новгородская область,2018,2
Новгородская область,2019,2
Новгородская область,2020,2
Псковская область,2015,2
Псковская область,2016,2
Псковская область,2017,2
Псковская область,2018,2
Псковская область,2019,2
Псковская область,2020,2
Санкт-Петербург,2015,2
Санкт-Петербург,2016,2
Санкт-Петербург,2017,2
Санкт-Петербург,2018,2
Санкт-Петербург,2019,2
Санкт-Петербург,2020,2
Республика Адыгея,2015,2
Республика Адыгея,2016,2
Республика Адыгея,2017,2
Республика Адыгея,2018,2
Республика Адыгея,2019,2
Республика Адыгея,2020,2
Республика Калмыкия,2015,0
Республика Калмыкия,2016,0
Республика Калмыкия,2017,0
Республика Калмыкия,2018,0
Республика Калмыкия,2019,0
Республика Калмыкия,2020,0
Республика Крым,2015,0
Республика Крым,2016,0
Республика Крым,2017,0
Республика Крым,2018,0
Республика Крым,2019,0
Республика Крым,2020,0
Краснодарский край,2015,2
Краснодарский край,2016,2
Краснодарский край,2017,2
Краснодарский край,2018,2
Краснодарский край,2019,2
Краснодарский край,2020,2
Астраханская область,2015,2
Астраханская область,2016,2
Астраханская область,2017,2
Астраханская область,2018,2
Астраханская область,2019,2
Астраханская область,2020,2
Волгоградская область,2015,2
Волгоградская область,2016,2
Волгоградская область,2017,2
Волгоградская область,2018,2
Волгоградская область,2019,2
Волгоградская область,2020,2
Ростовская область,2015,2
Ростовская область,2016,2
Ростовская область,2017,2
Ростовская область,2018,2
Ростовская область,2019,2
Ростовская область,2020,2
Севастополь,2015,2
Севастополь,2016,2
Севастополь,2017,2
Севастополь,2018,2
Севастополь,2019,2
Севастополь,2020,2
Республика Дагестан,2015,0
Республика Дагестан,2016,0
Республика Дагестан,2017,0
Республика Дагестан,2018,0
Республика Дагестан,2019,0
Республика Дагестан,2020,0
Республика Ингушетия,2015,0
Республика Ингушетия,2016,0
Республика Ингушетия,2017,0
Республика Ингушетия,2018,0
Республика Ингушетия,2019,0
Республика Ингушетия,2020,0
Кабардино-Балкарская Республика,2015,0
Кабардино-Балкарская Республика,2016,0
Кабардино-Балкарская Республика,2017,0
Кабардино-Балкарская Республика,2018,0
Кабардино-Балкарская Республика,2019,0
Кабардино-Балкарская Республика,2020,0
Карачаево-Черкесская Республика,2015,0
Карачаево-Черкесская Республика,2016,0
Карачаево-Черкесская Республика,2017,0
Карачаево-Черкесская Республика,2018,0
Карачаево-Черкесская Республика,2019,0
Карачаево-Черкесская Республика,2020,0
Республика Северная Осетия - Алания,2015,0
Республика Северная Осетия - Алания,2016,0
Республика Северная Осетия - Алания,2017,0
Республика Северная Осетия - Алания,2018,0
