region_ru_unmatched,geojson_shapeName_unmatched
Амурская область,Amur Oblast
Архангельская область,Arkhangelsk Oblast
Астраханская область,Astrakhan Oblast
Белгородская область,Belgorod Oblast
Брянская область,Bryansk Oblast
Владимирская область,Buryatia
Волгоградская область,Chelyabinsk Oblast
Вологодская область,Chuvashia
Воронежская область,Irkutsk Oblast
Ивановская область,Ivanovo Oblast
Иркутская область,Kaliningrad
Калининградская область,Kaluga Oblast
Калужская область,Karachay-Cherkessia
Карачаево-Черкесская Республика,Kemerovo Oblast
Кемеровская область,Khakassia
Кировская область,Kirov Oblast
Костромская область,Kostroma Oblast
Курганская область,Kurgan Oblast
Курская область,Kursk Oblast
Ленинградская область,Leningrad oblast
Липецкая область,Lipetsk Oblast
Магаданская область,Magadan Oblast
Московская область,Moscow Oblast
Мурманская область,Murmansk Oblast
Нижегородская область,Nizhny Novgorod Oblast
Новгородская область,Novgorod Oblast
Новосибирская область,Novosibirsk Oblast
Омская область,Omsk Oblast
Оренбургская область,Orenburg Oblast
Орловская область,Oryol Oblast
Пензенская область,Penza Oblast
Псковская область,Pskov Oblast
Республика Бурятия,Rostov Oblast
Республика Крым,Ryazan Oblast
Республика Саха (Якутия),Sakha Republic
Республика Тыва,Sakhalin Oblast
Республика Хакасия,Samara Oblast
Ростовская область,Saratov Oblast
Рязанская область,Smolensk Oblast
Самарская область,Sverdlovsk Oblast
Саратовская область,Tambov Oblast
Сахалинская область,Tomsk Oblast
Свердловская область,Tula Oblast
Севастополь,Tuva
Смоленская область,Tver Oblast
Тамбовская область,Tyumen Oblast
Тверская область,Udmurtia
Томская область,Ulyanovsk Oblast
Тульская область,Vladimir Oblast
Тюменская область,Volgograd Oblast
Удмуртская Республика,Vologda Oblast
Ульяновская область,Voronezh Oblast
Челябинская область,Yaroslavl Oblast
Чувашская Республика,
Ярославская область,
