region,year,value,diagnosis,region_standard
Российская Федерация,2005,147.4,alcohol,
Центральный федеральный округ,2005,141.5,alcohol,
Белгородская область,2005,99.6,alcohol,Белгородская область
Брянская область,2005,243.8,alcohol,Брянская область
Владимирская область,2005,178.3,alcohol,Владимирская область
Воронежская область,2005,154.4,alcohol,Воронежская область
Ивановская область,2005,251.1,alcohol,Ивановская область
Калужская область,2005,187.6,alcohol,Калужская область
Костромская область,2005,138.8,alcohol,Костромская область
Курская область,2005,207.7,alcohol,Курская область
Липецкая область,2005,219.8,alcohol,Липецкая область
Московская область,2005,134.4,alcohol,Московская область
Орловская область,2005,135.1,alcohol,Орловская область
Рязанская область,2005,163.2,alcohol,Рязанская область
Смоленская область,2005,227.9,alcohol,Смоленская область
Тамбовская область,2005,141.4,alcohol,Тамбовская область
Тверская область,2005,187.2,alcohol,Тверская область
Тульская область,2005,203.2,alcohol,Тульская область
Ярославская область,2005,163.4,alcohol,Ярославская область
г. Москва,2005,69.6,alcohol,Москва
Северо-Западный федеральный округ,2005,141.9,alcohol,
Республика Карелия,2005,240.2,alcohol,Республика Карелия
Республика Коми,2005,250.9,alcohol,Республика Коми
Архангельская область,2005,120.1,alcohol,Архангельская область
Ненецкий автономный округ (Архангельская область),2005,276.4,alcohol,Ненецкий автономный округ
Вологодская область,2005,150.2,alcohol,Вологодская область
Калининградская область,2005,120.6,alcohol,Калининградская область
Ленинградская область,2005,164.6,alcohol,Ленинградская область
Мурманская область,2005,156.9,alcohol,Мурманская область
Новгородская область,2005,243.8,alcohol,Новгородская область
Псковская область,2005,195.7,alcohol,Псковская область
г. Санкт-Петербург,2005,77.3,alcohol,Санкт-Петербург
Южный федеральный округ  (до 03.06.2014),2005,119.3,alcohol,
Республика Адыгея (Адыгея) (до 03.06.2014),2005,120.6,alcohol,Республика Адыгея
Республика Калмыкия,2005,98.9,alcohol,Республика Калмыкия
Краснодарский край,2005,111.6,alcohol,Краснодарский край
Астраханская область,2005,137.1,alcohol,Астраханская область
Волгоградская область,2005,156.6,alcohol,Волгоградская область
Ростовская область,2005,102.5,alcohol,Ростовская область
Северо-Кавказский федеральный округ (до 03.06.2014),2005,57.5,alcohol,
Республика Дагестан,2005,36.8,alcohol,Республика Дагестан
Республика Ингушетия,2005,2.7,alcohol,Республика Ингушетия
Кабардино-Балкарская Республика,2005,90.2,alcohol,Кабардино-Балкарская Республика
Карачаево-Черкесская Республика,2005,59.8,alcohol,Карачаево-Черкесская Республика
Республика Северная Осетия-Алания,2005,57.6,alcohol,Республика Северная Осетия - Алания
Чеченская Республика,2005,0.0,alcohol,Чеченская Республика
Ставропольский край,2005,66.7,alcohol,Ставропольский край
Приволжский федеральный округ,2005,157.1,alcohol,
Республика Башкортостан,2005,133.4,alcohol,Республика Башкортостан
Республика Марий Эл,2005,151.9,alcohol,Республика Марий Эл
Республика Мордовия,2005,208.4,alcohol,Республика Мордовия
Республика Татарстан (Татарстан),2005,112.9,alcohol,Республика Татарстан
Удмуртская Республика,2005,133.2,alcohol,Удмуртская Республика
Чувашская Республика - Чувашия,2005,187.8,alcohol,Чувашская Республика
Пермский край,2005,241.6,alcohol,Пермский край
Кировская область,2005,196.1,alcohol,Кировская область
Нижегородская область,2005,140.9,alcohol,Нижегородская область
Оренбургская область,2005,177.7,alcohol,Оренбургская область
Пензенская область,2005,214.1,alcohol,Пензенская область
Самарская область,2005,130.4,alcohol,Самарская область
Саратовская область,2005,120.8,alcohol,Саратовская область
Ульяновская область,2005,187.8,alcohol,Ульяновская область
Уральский федеральный округ,2005,150.5,alcohol,
Курганская область,2005,169.0,alcohol,Курганская область
Свердловская область,2005,129.9,alcohol,Свердловская область
Тюменская область,2005,163.1,alcohol,Тюменская область
Ханты-Мансийский автономный округ - Югра (Тюменская область),2005,165.4,alcohol,Ханты-Мансийский автономный округ
Ямало-Ненецкий автономный округ (Тюменская область),2005,213.1,alcohol,Ямало-Ненецкий автономный округ
Челябинская область,2005,159.2,alcohol,Челябинская область
Сибирский федеральный округ,2005,174.3,alcohol,
Республика Алтай,2005,200.3,alcohol,Республика Алтай
Республика Тыва,2005,173.7,alcohol,Республика Тыва
Республика Хакасия,2005,177.2,alcohol,Республика Хакасия
Алтайский край,2005,227.6,alcohol,Алтайский край
Красноярский край,2005,188.9,alcohol,Красноярский край
Иркутская область,2005,323.9,alcohol,Иркутская область
Кемеровская область,2005,155.9,alcohol,Кемеровская область
Новосибирская область,2005,104.9,alcohol,Новосибирская область
Омская область,2005,72.8,alcohol,Омская область
Томская область,2005,136.0,alcohol,Томская область
Дальневосточный федеральный округ,2005,231.0,alcohol,
Республика Бурятия,2005,73.5,alcohol,Республика Бурятия
Республика Саха (Якутия),2005,303.7,alcohol,Республика Саха (Якутия)
