region,year,population,region_standard
Центральный федеральный округ,2015,38227656.0,
Белгородская область,2015,1501699.0,Белгородская область
Брянская область,2015,1423178.0,Брянская область
Владимирская область,2015,1575507.0,Владимирская область
Воронежская область,2015,2441337.0,Воронежская область
Ивановская область,2015,1194595.0,Ивановская область
Калужская область,2015,1070426.0,Калужская область
Костромская область,2015,761907.0,Костромская область
Курская область,2015,1281733.0,Курская область
Липецкая область,2015,1233679.0,Липецкая область
Московская область,2015,6628173.0,Московская область
Орловская область,2015,884269.0,Орловская область
Рязанская область,2015,1274503.0,Рязанская область
Смоленская область,2015,1099389.0,Смоленская область
Тамбовская область,2015,1231054.0,Тамбовская область
Тверская область,2015,1543796.0,Тверская область
Тульская область,2015,1743368.0,Тульская область
Ярославская область,2015,1406111.0,Ярославская область
Город Москва столица Российской Федерации город федерального значения,2015,9932932.0,Москва
Северо-Западный федеральный округ,2015,14323567.0,
Республика Карелия,2015,735462.0,Республика Карелия
Республика Коми,2015,1057873.0,Республика Коми
Архангельская область,2015,1390334.0,Архангельская область
Ненецкий автономный округ (Архангельская область),2015,41174.0,Ненецкий автономный округ
Вологодская область,2015,1299611.0,Вологодская область
Калининградская область,2015,958782.0,Калининградская область
Ленинградская область,2015,1686716.0,Ленинградская область
Мурманская область,2015,941062.0,Мурманская область
Новгородская область,2015,718565.0,Новгородская область
Псковская область,2015,793239.0,Псковская область
Город Санкт-Петербург город федерального значения,2015,4741923.0,Санкт-Петербург
Южный федеральный округ (по 2009 год),2015,22742546.0,
Республика Адыгея (Адыгея),2015,449052.0,Республика Адыгея
Республика Калмыкия,2015,308347.0,Республика Калмыкия
Краснодарский край,2015,5133449.0,Краснодарский край
Астраханская область,2015,1012385.0,Астраханская область
Волгоградская область,2015,2738531.0,Волгоградская область
Ростовская область,2015,4454446.0,Ростовская область
Республика Дагестан,2015,2442609.0,Республика Дагестан
Республика Ингушетия,2015,340028.0,Республика Ингушетия
Кабардино-Балкарская Республика,2015,878990.0,Кабардино-Балкарская Республика
Карачаево-Черкесская Республика,2015,439981.0,Карачаево-Черкесская Республика
Республика Северная Осетия-Алания,2015,693564.0,Республика Северная Осетия - Алания
Чеченская Республика,2015,1110237.0,Чеченская Республика
Ставропольский край,2015,2740927.0,Ставропольский край
Приволжский федеральный округ,2015,31703297.0,
Республика Башкортостан,2015,4119810.0,Республика Башкортостан
Республика Марий Эл,2015,743828.0,Республика Марий Эл
Республика Мордовия,2015,918443.0,Республика Мордовия
Республика Татарстан (Татарстан),2015,3789688.0,Республика Татарстан
Удмуртская Республика,2015,1595571.0,Удмуртская Республика
Чувашская Республика - Чувашия,2015,1334219.0,Чувашская Республика
Пермский край,2015,2878903.0,Пермский край
"Коми-Пермяцкий округ, входящий в состав Пермского края",2015,138877.0,
Кировская область,2015,1553595.0,Кировская область
Нижегородская область,2015,3628222.0,Нижегородская область
Оренбургская область,2015,2211204.0,Оренбургская область
Пензенская область,2015,1500196.0,Пензенская область
Самарская область,2015,3291598.0,Самарская область
Саратовская область,2015,2710645.0,Саратовская область
Ульяновская область,2015,1427375.0,Ульяновская область
Уральский федеральный округ,2015,12515498.0,
Курганская область,2015,1059515.0,Курганская область
Свердловская область,2015,4577515.0,Свердловская область
Тюменская область,2015,3218356.0,Тюменская область
Ханты-Мансийский автономный округ - Югра (Тюменская область),2015,1359646.0,Ханты-Мансийский автономный округ
Ямало-Ненецкий автономный округ (Тюменская область),2015,496292.0,Ямало-Ненецкий автономный округ
Челябинская область,2015,3660112.0,Челябинская область
Сибирский федеральный округ,2015,20464285.0,
Республика Алтай,2015,202441.0,Республика Алтай
Республика Тыва,2015,306152.0,Республика Тыва
Республика Хакасия,2015,557481.0,Республика Хакасия
Алтайский край,2015,2651628.0,Алтайский край
Агинский Бурятский округ (Забайкальский край),2015,71307.0,Забайкальский край
Красноярский край,2015,3022092.0,Красноярский край
Таймырский (Долгано-Ненецкий) автономный округ (Красноярский край),2015,38263.0,
Эвенкийский автономный округ (Красноярский край),2015,18469.0,
Иркутская область,2015,2644022.0,Иркутская область
Кемеровская область - Кузбасс,2015,2963439.0,Кемеровская область
Усть-Ордынский Бурятский округ,2015,134694.0,
Новосибирская область,2015,2725499.0,Новосибирская область
Омская область,2015,2136058.0,Омская область
Томская область,2015,1057846.0,Томская область
Дальневосточный федеральный округ,2015,6913279.0,
Республика Бурятия,2015,1004808.0,Республика Бурятия
Забайкальский край,2015,1192819.0,Забайкальский край
Республика Саха (Якутия),2015,962507.0,Республика Саха (Якутия)
Камчатский край,2015,372308.0,Камчатский край
"Корякский округ, входящий в состав Камчатского края",2015,26645.0,
Приморский край,2015,2141025.0,Приморский край
Хабаровский край,2015,1473876.0,Хабаровский край
Амурская область,2015,935607.0,Амурская область
Магаданская область,2015,201974.0,Магаданская область
Сахалинская область,2015,569234.0,Сахалинская область
Еврейская автономная область,2015,195135.0,Еврейская автономная область
Чукотский автономный округ,2015,61613.0,Чукотский автономный округ
Раздел 1. Муниципальные образования субъектов Российской Федерации,2016,146303611.0,
Центральный федеральный округ,2016,38175094.0,
Белгородская область,2016,1506976.0,Белгородская область
Брянская область,2016,1407965.0,Брянская область
Владимирская область,2016,1558052.0,Владимирская область
Воронежская область,2016,2422371.0,Воронежская область
Ивановская область,2016,1178969.0,Ивановская область
Калужская область,2016,1060285.0,Калужская область
Костромская область,2016,753972.0,Костромская область
Курская область,2016,1266467.0,Курская область
Липецкая область,2016,1228106.0,Липецкая область
Московская область,2016,6613469.0,Московская область
Орловская область,2016,876672.0,Орловская область
Рязанская область,2016,1258828.0,Рязанская область
Смоленская область,2016,1082207.0,Смоленская область
Тамбовская область,2016,1213591.0,Тамбовская область
Тверская область,2016,1519569.0,Тверская область
Тульская область,2016,1719665.0,Тульская область
Ярославская область,2016,1393727.0,Ярославская область
Город Москва столица Российской Федерации город федерального значения,2016,10114203.0,Москва
Северо-Западный федеральный округ,2016,14198896.0,
Республика Карелия,2016,728813.0,Республика Карелия
Республика Коми,2016,1042880.0,Республика Коми
Архангельская область,2016,1369118.0,Архангельская область
Ненецкий автономный округ (Архангельская область),2016,40931.0,Ненецкий автономный округ
Вологодская область,2016,1290370.0,Вологодская область
Калининградская область,2016,957533.0,Калининградская область
Ленинградская область,2016,1680358.0,Ленинградская область
Мурманская область,2016,922875.0,Мурманская область
Новгородская область,2016,710261.0,Новгородская область
Псковская область,2016,781844.0,Псковская область
Город Санкт-Петербург город федерального значения,2016,4714844.0,Санкт-Петербург
Южный федеральный округ (по 2009 год),2016,22761875.0,
Республика Адыгея (Адыгея),2016,447327.0,Республика Адыгея
Республика Калмыкия,2016,307281.0,Республика Калмыкия
Краснодарский край,2016,5132798.0,Краснодарский край
Астраханская область,2016,1009281.0,Астраханская область
Волгоградская область,2016,2725433.0,Волгоградская область
Ростовская область,2016,4439314.0,Ростовская область
Республика Дагестан,2016,2486002.0,Республика Дагестан
Республика Ингушетия,2016,445443.0,Республика Ингушетия
Кабардино-Балкарская Республика,2016,886698.0,Кабардино-Балкарская Республика
Карачаево-Черкесская Республика,2016,440621.0,Карачаево-Черкесская Республика
Республика Северная Осетия-Алания,2016,704351.0,Республика Северная Осетия - Алания
Чеченская Республика,2016,996427.0,Чеченская Республика
Ставропольский край,2016,2740899.0,Ставропольский край
Приволжский федеральный округ,2016,31531441.0,
Республика Башкортостан,2016,4115176.0,Республика Башкортостан
Республика Марий Эл,2016,739091.0,Республика Марий Эл
Республика Мордовия,2016,908152.0,Республика Мордовия
Республика Татарстан (Татарстан),2016,3786845.0,Республика Татарстан
Удмуртская Республика,2016,1588054.0,Удмуртская Республика
Чувашская Республика - Чувашия,2016,1327743.0,Чувашская Республика
Пермский край,2016,2858588.0,Пермский край
"Коми-Пермяцкий округ, входящий в состав Пермского края",2016,137648.0,
Кировская область,2016,1536772.0,Кировская область
Нижегородская область,2016,3594476.0,Нижегородская область
Оренбургская область,2016,2203616.0,Оренбургская область
Пензенская область,2016,1484149.0,Пензенская область
Самарская область,2016,3275823.0,Самарская область
Саратовская область,2016,2699385.0,Саратовская область
Ульяновская область,2016,1413571.0,Ульяновская область
Уральский федеральный округ,2016,12471257.0,
Курганская область,2016,1047114.0,Курганская область
Свердловская область,2016,4545942.0,Свердловская область
Тюменская область,2016,3234252.0,Тюменская область
Ханты-Мансийский автономный округ - Югра (Тюменская область),2016,1383449.0,Ханты-Мансийский автономный округ
Ямало-Ненецкий автономный округ (Тюменская область),2016,498271.0,Ямало-Ненецкий автономный округ
Челябинская область,2016,3643949.0,Челябинская область
Сибирский федеральный округ,2016,20333014.0,
Республика Алтай,2016,203030.0,Республика Алтай
Республика Тыва,2016,305729.0,Республика Тыва
Республика Хакасия,2016,554411.0,Республика Хакасия
Алтайский край,2016,2641079.0,Алтайский край
Агинский Бурятский округ (Забайкальский край),2016,71162.0,Забайкальский край
Красноярский край,2016,3000891.0,Красноярский край
Таймырский (Долгано-Ненецкий) автономный округ (Красноярский край),2016,38250.0,
Эвенкийский автономный округ (Красноярский край),2016,18012.0,
Иркутская область,2016,2623183.0,Иркутская область
Кемеровская область - Кузбасс,2016,2942264.0,Кемеровская область
Усть-Ордынский Бурятский округ,2016,134735.0,
Новосибирская область,2016,2715128.0,Новосибирская область
Омская область,2016,2117291.0,Омская область
Томская область,2016,1054272.0,Томская область
Дальневосточный федеральный округ,2016,6832034.0,
Республика Бурятия,2016,996912.0,Республика Бурятия
Забайкальский край,2016,1178824.0,Забайкальский край
Республика Саха (Якутия),2016,957478.0,Республика Саха (Якутия)
Камчатский край,2016,366400.0,Камчатский край
"Корякский округ, входящий в состав Камчатского края",2016,25831.0,
Приморский край,2016,2120467.0,Приморский край
Хабаровский край,2016,1459908.0,Хабаровский край
Амурская область,2016,923055.0,Амурская область
Магаданская область,2016,193945.0,Магаданская область
Сахалинская область,2016,560049.0,Сахалинская область
Еврейская автономная область,2016,193198.0,Еврейская автономная область
