region,production_field,year,value,region_standard
Российская Федерация,РАЗДЕЛ С ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,2005,3062459894.0,
Российская Федерация,    Подраздел СА ДОБЫЧА ТОПЛИВНО-ЭНЕРГЕТИЧЕСКИХ ПОЛЕЗНЫХ  ИСКОПАЕМЫХ,2005,2686255589.0,
Российская Федерация,"        Добыча каменного угля,бурого угля и торфа",2005,232179403.1,
Российская Федерация,        Добыча сырой нефти и природного газа; предоставление услуг в этих областях,2005,2450540935.0,
Российская Федерация,        Добыча урановой и ториевой руд,2005,3535251.2,
Российская Федерация,"    Подраздел СВ ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ, КРОМЕ ТОПЛИВНО- ЭНЕРГЕТИЧЕСКИХ",2005,376204305.2,
Российская Федерация,        Добыча металлических руд,2005,225738387.6,
Российская Федерация,        Добыча прочих полезных ископаемых,2005,150465917.6,
Российская Федерация,РАЗДЕЛ D ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,2005,8871975885.0,
Российская Федерация,"    Подраздел DA ПРОИЗВОДСТВО ПИЩЕВЫХ ПРОДУКТОВ, ВКЛЮЧАЯ НАПИТКИ, И ТАБАКА",2005,1485653083.0,
Российская Федерация,"        Производство пищевых продуктов, включая напитки",2005,1397774975.0,
Российская Федерация,        Производство табачных изделий,2005,87752383.8,
Российская Федерация,    Подраздел DB ТЕКСТИЛЬНОЕ И ШВЕЙНОЕ ПРОИЗВОДСТВО,2005,101423341.0,
Российская Федерация,        Текстильное производство,2005,59503632.42,
Российская Федерация,        Производство одежды; выделка и крашение меха,2005,41919708.57,
Российская Федерация,"    Подраздел DC ПРОИЗВОДСТВО КОЖИ, ИЗДЕЛИЙ ИЗ КОЖИ И ПРОИЗВОДСТВО ОБУВИ",2005,19709689.46,
Российская Федерация,"        Производство кожи, изделий из кожи и производство обуви",2005,19709689.85,
Российская Федерация,    Подраздел DD ОБРАБОТКА ДРЕВЕСИНЫ И ПРОИЗВОДСТВО ИЗДЕЛИЙ  ИЗ ДЕРЕВА,2005,145323168.7,
Российская Федерация,"        Обработка древесины и производство изделий из дерева и пробки, кроме мебели",2005,145323168.8,
Российская Федерация,    Подраздел DE ЦЕЛЛЮЛОЗНО-БУМАЖНОЕ ПРОИЗВОДСТВО;  ИЗДАТЕЛЬСКАЯ И ПОЛИГРАФИЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ,2005,314969076.6,
Российская Федерация,"        Производство целлюлозы, древесной массы, бумаги, картона и изделий из них",2005,171355317.5,
Российская Федерация,"        Издательская и полиграфическая деятельность, тиражирование записанных носителей информации",2005,143613759.0,
Российская Федерация,    Подраздел DG ХИМИЧЕСКОЕ ПРОИЗВОДСТВО,2005,672332374.8,
Российская Федерация,        Химическое производство,2005,672332375.3,
