region,year,welfare_percent,region_standard
Российская Федерация,2015,15.8,
Белгородская область,2015,11.3,Белгородская область
Брянская область,2015,22.0,Брянская область
Владимирская область,2015,18.1,Владимирская область
Воронежская область,2015,15.2,Воронежская область
Ивановская область,2015,18.1,Ивановская область
Калужская область,2015,14.5,Калужская область
Костромская область,2015,14.9,Костромская область
Курская область,2015,17.8,Курская область
Липецкая область,2015,14.6,Липецкая область
Московская область,2015,15.3,Московская область
Орловская область,2015,18.1,Орловская область
Рязанская область,2015,16.2,Рязанская область
Смоленская область,2015,16.4,Смоленская область
Тамбовская область,2015,14.8,Тамбовская область
Тверская область,2015,15.3,Тверская область
Тульская область,2015,19.7,Тульская область
Ярославская область,2015,16.0,Ярославская область
г. Москва,2015,17.7,Москва
Республика Карелия,2015,19.7,Республика Карелия
Республика Коми,2015,14.7,Республика Коми
Архангельская область,2015,15.4,Архангельская область
Вологодская область,2015,20.3,Вологодская область
Калининградская область,2015,10.0,Калининградская область
Ленинградская область,2015,12.5,Ленинградская область
Мурманская область,2015,16.4,Мурманская область
Новгородская область,2015,18.0,Новгородская область
Псковская область,2015,18.1,Псковская область
г. Санкт-Петербург,2015,13.8,Санкт-Петербург
Ненецкий автономный округ,2015,13.6,Ненецкий автономный округ
Республика Адыгея,2015,17.6,Республика Адыгея
Республика Калмыкия,2015,16.8,Республика Калмыкия
Республика Крым,2015,12.6,Республика Крым
Краснодарский край,2015,15.4,Краснодарский край
Астраханская область,2015,18.8,Астраханская область
Волгоградская область,2015,18.0,Волгоградская область
Ростовская область,2015,19.3,Ростовская область
г. Севастополь,2015,12.2,Севастополь
Республика Дагестан,2015,13.7,Республика Дагестан
Республика Ингушетия,2015,16.8,Республика Ингушетия
"Кабардино-Балкарская
Республика",2015,13.8,
"Карачаево-Черкесская
Республика",2015,14.3,
"Республика Северная
Осетия-Алания",2015,14.2,
Чеченская Республика,2015,21.5,Чеченская Республика
Ставропольский край,2015,19.3,Ставропольский край
Республика Башкортостан,2015,13.3,Республика Башкортостан
Республика Марий Эл,2015,14.7,Республика Марий Эл
Республика Мордовия,2015,12.8,Республика Мордовия
Республика Татарстан,2015,9.8,Республика Татарстан
Удмуртская Республика,2015,13.6,Удмуртская Республика
Чувашская Республика,2015,17.5,Чувашская Республика
Пермский край,2015,17.1,Пермский край
Кировская область,2015,17.9,Кировская область
Нижегородская область,2015,18.1,Нижегородская область
Оренбургская область,2015,19.1,Оренбургская область
Пензенская область,2015,16.2,Пензенская область
Самарская область,2015,21.6,Самарская область
